Team 1,Competition info,Date,Team 2,Score 1,Score 2,Bet Winner Home,Bet Draw,Bet Winner Away,Expected Goals xG Home,Expected Goals xG Away,Ball Possession Home,Ball Possession Away,Goal Attempts Home,Goal Attempts Away,Shots on Goal Home,Shots on Goal Away,Shots off Goal Home,Shots off Goal Away,Blocked Shots Home,Blocked Shots Away,Free Kicks Home,Free Kicks Away,Corner Kicks Home,Corner Kicks Away,Offsides Home,Offsides Away,Throwin Home,Throwin Away,Goalkeeper Saves Home,Goalkeeper Saves Away,Fouls Home,Fouls Away,Red Cards Home,Red Cards Away,Yellow Cards Home,Yellow Cards Away,Total Passes Home,Total Passes Away,Completed Passes Home,Completed Passes Away,Tackles Home,Tackles Away,Attacks Home,Attacks Away
Real Madrid,EUROPE: Champions League - Play Offs - 1/8-finals,15.03.2023 22:00,Liverpool,1,0,2.30,4.00,2.75,2.29,0.52,55%,45%,18,9,7,5,6,4,5,0,19,11,5,9,5,2,31,13,5,6,7,17,0,0,0,2,527,455,458,384,18,23,54,45
Bournemouth,ENGLAND: Premier League - Round 27,11.03.2023 14:30,Liverpool,1,0,7.50,5.00,1.40,0.97,1.89,31%,69%,5,15,2,6,3,8,0,1,12,8,3,8,2,4,21,36,6,1,7,9,0,0,2,1,278,637,182,531,11,22,30,71
Liverpool,ENGLAND: Premier League - Round 26,05.03.2023 18:30,Manchester Utd,7,0,2.40,3.60,2.80,2.92,0.96,60%,40%,18,8,8,4,5,3,5,1,17,11,4,3,0,4,20,21,4,1,13,14,0,0,2,3,468,314,365,223,17,15,60,45
Liverpool,ENGLAND: Premier League - Round 7,01.03.2023 22:00,Wolves,2,0,1.50,4.33,6.50,2.74,1.01,57%,43%,15,4,6,1,6,2,3,1,18,11,5,2,1,3,27,22,1,4,13,14,0,0,2,3,528,402,439,321,12,21,52,21
Crystal Palace,ENGLAND: Premier League - Round 25,25.02.2023 21:45,Liverpool,0,0,4.75,4.00,1.67,0.65,0.98,36%,64%,6,12,0,4,4,5,2,3,15,15,5,3,4,1,23,24,4,0,11,14,0,0,2,5,345,644,248,535,16,14,45,46
Liverpool,EUROPE: Champions League - Play Offs - 1/8-finals,21.02.2023 22:00,Real Madrid,2,5,2.20,3.60,3.10,2.15,1.78,52%,48%,9,9,4,6,3,2,2,1,13,11,4,3,0,0,24,19,1,2,9,9,0,0,1,1,561,535,486,463,8,9,64,32
Newcastle,ENGLAND: Premier League - Round 24,18.02.2023 19:30,Liverpool,0,2,2.45,3.40,2.80,2.09,1.92,37%,63%,14,13,4,7,7,4,3,2,6,3,6,7,3,0,15,16,5,4,3,8,1,0,1,1,350,605,287,532,10,14,45,53
Liverpool,ENGLAND: Premier League - Round 23,13.02.2023 22:00,Everton,2,0,1.62,4.00,5.50,2.32,0.3,59%,41%,15,6,6,1,4,4,5,1,16,11,3,3,4,2,25,18,1,4,8,16,0,0,1,3,585,403,505,317,21,18,68,32
Wolves,ENGLAND: Premier League - Round 22,04.02.2023 17:00,Liverpool,3,0,3.75,3.80,1.91,0,0,42%,58%,12,22,6,4,5,8,1,10,10,8,2,7,1,2,14,33,4,3,9,7,0,0,1,1,407,544,305,465,15,10,22,64
Brighton,ENGLAND: FA Cup - 1/16-finals,29.01.2023 15:30,Liverpool,2,1,2.55,3.80,2.55,0,0,56%,44%,13,8,6,2,3,5,4,1,15,12,3,2,2,2,17,18,1,4,10,15,0,0,1,4,538,436,477,361,14,10,49,36
Liverpool,ENGLAND: Premier League - Round 21,21.01.2023 14:30,Chelsea,0,0,2.00,3.60,3.60,0,0,48%,52%,15,11,3,2,6,6,6,3,9,19,5,5,5,1,22,20,2,3,16,9,0,0,3,1,477,540,375,436,18,21,62,38
Wolves,ENGLAND: FA Cup - 1/32-finals,17.01.2023 21:45,Liverpool,0,1,3.20,3.40,2.30,0,0,58%,43%,11,7,2,2,5,5,4,0,16,11,4,2,2,5,32,19,1,2,10,11,0,0,1,3,604,447,516,351,17,22,68,37
Brighton,ENGLAND: Premier League - Round 20,14.01.2023 17:00,Liverpool,3,0,2.80,3.75,2.30,0,0,62%,38%,16,6,9,2,3,3,4,1,13,13,7,1,4,2,20,12,2,6,8,15,0,0,1,3,650,420,554,321,15,19,56,22
Liverpool,ENGLAND: FA Cup - 1/32-finals,07.01.2023 22:00,Wolves,2,2,1.20,7.50,12.00,0,0,64%,36%,10,11,3,5,7,2,0,4,10,11,4,3,1,4,35,18,3,1,9,6,0,0,0,1,592,335,497,253,19,15,75,38
Brentford,ENGLAND: Premier League - Round 19,02.01.2023 19:30,Liverpool,3,1,6.00,4.50,1.50,0,0,27%,73%,10,16,7,6,2,3,1,7,12,12,4,9,7,4,14,28,5,4,5,8,0,0,1,3,237,652,118,643,17,9,29,62
Liverpool,ENGLAND: Premier League - Round 18,30.12.2022 22:00,Leicester,2,1,1.25,6.00,11.00,0,0,57%,43%,21,7,5,2,10,3,6,2,18,10,4,5,2,5,19,14,1,4,8,15,0,0,0,1,588,448,486,338,18,14,69,29
Aston Villa,ENGLAND: Premier League - Round 17,26.12.2022 19:30,Liverpool,1,3,4.75,3.80,1.70,0,0,47%,53%,12,16,6,9,3,6,3,1,15,10,0,6,3,3,14,15,6,5,7,12,0,0,0,0,471,514,361,417,12,19,42,38
Manchester City,ENGLAND: EFL Cup - 1/8-finals,22.12.2022 22:00,Liverpool,3,2,1.57,4.50,5.25,0,0,57%,43%,18,7,9,2,6,4,3,1,11,7,7,1,1,3,15,27,0,6,6,10,0,0,1,3,574,446,505,359,14,16,59,21
Liverpool (Eng),WORLD: Club Friendly,16.12.2022 17:30,AC Milan (Ita),4,1,1.70,3.98,5.29,0,0,57%,43%,22,8,10,4,9,3,3,1,0,0,4,4,1,2,24,21,3,6,11,13,0,0,0,0,570,434,498,344,20,27,68,40
Liverpool (Eng),WORLD: Club Friendly,11.12.2022 16:00,Lyon (Fra),1,3,1.69,4.30,4.85,0,0,49%,51%,11,8,2,6,5,2,4,0,0,0,3,2,3,2,12,9,3,1,9,15,0,0,1,0,554,577,482,482,17,30,82,56
